Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 1-комнатной квартиры 61,2м², 9/40этаж",Минская,"•до центра 7,4 км",709218₽/м²,1-комнатная,9,40,"61,2м²",27м²,9м²,43375803
"Продажа многокомнатной квартиры 222м², 3/8этаж",Студенческая,"•до центра 7,2 км",1216216₽/м²,5-комнатная,3,8,222м²,150м²,30м²,270000000
"Продажа многокомнатной квартиры 171,2м², 2/8этаж",Раменки,"•до центра 9,9 км",490654₽/м²,6-комнатная,2,8,"171,2м²","102,2м²",23м²,84000000
"Продажа многокомнатной квартиры 345м², 18/19этаж",Раменки,•до центра 10 км,286957₽/м²,6-комнатная,18,19,,,,99000000
"Продажа многокомнатной квартиры 322м², 13/13этаж",Лужники,"•до центра 6,1 км",1287930₽/м²,,,,322м²,25м²,13 из 13,414713462
"Продажа 3-комнатной квартиры 136м², 4/24этаж",Университет,"•до центра 8,8 км",720588₽/м²,3-комнатная,4,24,,,,98000000
"Продажа 4-комнатной квартиры 169,1м², 3/6этаж",Минская,"•до центра 8,3 км",739208₽/м²,4-комнатная,3,6,"169,1м²",97м²,15м²,125000000
"Продажа 2-комнатной квартиры 50м², 13/52этаж",Минская,"•до центра 9,5 км",449732₽/м²,2-комнатная,13,52,50м²,"31,7м²",5м²,22486609
"Продажа 4-комнатной квартиры 97,1м², 2/27этаж",Аминьевская,"•до центра 11,3 км",545314₽/м²,4-комнатная,2,27,,,,52950000
"Продажа 3-комнатной квартиры 73,7м², 48/56этаж",Минская,"•до центра 9,4 км",475547₽/м²,,,,,,,35047810
"Продажа 3-комнатной квартиры 67м², 10/14этаж",Минская,"•до центра 8,8 км",567164₽/м²,3-комнатная,10,14,67м²,30м²,25м²,38000000
"Продажа 2-комнатной квартиры 74м², 7/16этаж",Ломоносовский проспект,"•до центра 8,8 км",527027₽/м²,2-комнатная,7,16,74м²,43м²,17м²,39000000
"Продажа 1-комнатной квартиры 51м², 12/13этаж",Минская,"•до центра 8,9 км",634118₽/м²,1-комнатная,12,13,51м²,"14,7м²","27,7м²",32340000
"Продажа 4-комнатной квартиры 137м², 28/33этаж",Мичуринский проспект,"•до центра 11,2 км",688832₽/м²,,,,,,,94370000
"Продажа 2-комнатной квартиры 71,7м², 3/49этаж",Мичуринский проспект,"•до центра 11,3 км",445900₽/м²,2-комнатная,3,49,"71,7м²","23,6м²",27м²,31971030
"Продажа 2-комнатной квартиры 78,2м², 17/49этаж",Мичуринский проспект,"•до центра 11,3 км",430400₽/м²,2-комнатная,17,49,"78,2м²","26,4м²","27,7м²",33657280
"Продажа 3-комнатной квартиры 68,5м², 21/41этаж",Киевская,"•до центра 5,6 км",673500₽/м²,,,,,,,46161690
"Продажа 3-комнатной квартиры 62,9м², 7/28этаж",Раменки,"•до центра 9,9 км",554842₽/м²,3-комнатная,7,28,"62,9м²","31,3м²","15,4м²",34899535
"Продажа многокомнатной квартиры 178м², 6/8этаж",Минская,"•до центра 8,4 км",983146₽/м²,5-комнатная,6,8,178м²,100м²,40м²,175000000
"Продажа 2-комнатной квартиры 71,4м², 19/49этаж",Мичуринский проспект,"•до центра 11,3 км",528000₽/м²,2-комнатная,19,49,"71,4м²","24,3м²","25,7м²",37699200
"Продажа 3-комнатной квартиры 69м², 6/14этаж",Минская,"•до центра 8,9 км",550725₽/м²,3-комнатная,6,14,69м²,30м²,18м²,38000000
"Продажа 3-комнатной квартиры 82,3м², 30/32этаж",Мичуринский проспект,"•до центра 11,2 км",516100₽/м²,,,,,,,42475030
"Продажа 3-комнатной квартиры 107м², 15/19этаж",Университет,"•до центра 8,9 км",925234₽/м²,3-комнатная,15,19,107м²,82м²,20м²,99000000
"Продажа 3-комнатной квартиры 78м², 40/52этаж",Мичуринский проспект,"•до центра 10,7 км",485897₽/м²,,,,,,,37900000
"Продажа 3-комнатной квартиры 103м², 15/17этаж",Раменки,"•до центра 9,4 км",380583₽/м²,3-комнатная,15,17,103м²,60м²,20м²,39200000
"Продажа 3-комнатной квартиры 72,9м², 1/17этаж",Мичуринский проспект,"•до центра 10,7 км",329218₽/м²,3-комнатная,1,17,"72,9м²","44,3м²",10м²,24000000
"Продажа 4-комнатной квартиры 112,2м², 8/56этаж",Минская,"•до центра 9,4 км",382364₽/м²,4-комнатная,8,56,"112,2м²","71,5м²",6м²,42901195
"Продажа 3-комнатной квартиры 110м², 27/42этаж",Ломоносовский проспект,"•до центра 8,5 км",441818₽/м²,,,,,,,48600000
"Продажа многокомнатной квартиры 332,5м², 15/16этаж",Ломоносовский проспект,•до центра 9 км,628571₽/м²,9-комнатная,15,16,"332,5м²","207,1м²","15,6м²",209000000
"Продажа 4-комнатной квартиры 214м², 2/6этаж",Минская,"•до центра 8,3 км",1542056₽/м²,4-комнатная,2,6,,,,330000000
"Продажа 3-комнатной квартиры 112,3м², 3/21этаж",Раменки,"•до центра 9,9 км",934996₽/м²,3-комнатная,3,21,"112,3м²","61,6м²","16,2м²",105000000
"Продажа 2-комнатной квартиры 49,2м², 12/14этаж",Минская,"•до центра 8,8 км",668699₽/м²,2-комнатная,12,14,,,,32900000
"Продажа 3-комнатной квартиры 72,9м², 11/12этаж",Минская,"•до центра 8,8 км",643347₽/м²,3-комнатная,11,12,,,,46900000
"Продажа 1-комнатной квартиры 42,4м², 24/29этаж",Аминьевская,"•до центра 11,3 км",587264₽/м²,,,,,,,24900000
"Продажа квартиры со свободной планировкой 237,4м², 4/12этаж",Ломоносовский проспект,"•до центра 7,2 км",1200505₽/м²,,,,"237,4м²","77,4м²","18,5м²",285000000
"Продажа 4-комнатной квартиры 110,9м², 29/56этаж",Минская,"•до центра 9,4 км",395790₽/м²,,,,,,,43893159
"Продажа квартиры-студии 29,4м², 8/12этаж",Минская,"•до центра 7,4 км",900309₽/м²,,,,,,,26460096
"Продажа 2-комнатной квартиры 80м², 4/26этаж",Аминьевская,"•до центра 11,6 км",330000₽/м²,2-комнатная,4,26,80м²,41м²,15м²,26400000
"Продажа квартиры со свободной планировкой 237м², 3/12этаж",Студенческая,"•до центра 7,2 км",1248945₽/м²,,,,237м²,"133,6м²",20м²,296000000
"Продажа многокомнатной квартиры 210м², 6/12этаж",Минская,"•до центра 8,8 км",650000₽/м²,6-комнатная,6,12,,,,136500000
"Продажа 3-комнатной квартиры 70м², 7/14этаж",Минская,"•до центра 8,9 км",555714₽/м²,3-комнатная,7,14,70м²,39м²,12м²,38900000
"Продажа 3-комнатной квартиры 67м², 9/14этаж",Минская,"•до центра 8,9 км",552239₽/м²,3-комнатная,9,14,67м²,24м²,12м²,37000000
"Продажа 4-комнатной квартиры 167,8м², 14/14этаж",Минская,"•до центра 8,8 км",733015₽/м²,,,,,,,123000000
"Продажа многокомнатной квартиры 290,9м², 16/17этаж",Ломоносовский проспект,"•до центра 8,8 км",378137₽/м²,6-комнатная,16,17,"290,9м²",160м²,17м²,110000000
"Продажа 2-комнатной квартиры 51,1м², 11/17этаж",Раменки,"•до центра 10,4 км",379648₽/м²,2-комнатная,11,17,"51,1м²",34м²,"9,5м²",19400000
"Продажа 2-комнатной квартиры 47м², 12/31этаж",Аминьевская,"•до центра 11,5 км",551064₽/м²,2-комнатная,12,31,47м²,"25,4м²","7,6м²",25900000
"Продажа 4-комнатной квартиры 91,1м², 3/13этаж",Ломоносовский проспект,"•до центра 8,6 км",866630₽/м²,4-комнатная,3,13,"91,1м²","58,1м²",10м²,78950000
"Продажа квартиры-студии 25,6м², 37/52этаж",Минская,"•до центра 9,5 км",575677₽/м²,,,,"25,6м²","16,5м²",37 из 52,14737328
"Продажа 2-комнатной квартиры 59м², 16/17этаж",Раменки,"•до центра 9,4 км",420339₽/м²,2-комнатная,16,17,59м²,"22,9м²",13м²,24800000
"Продажа 4-комнатной квартиры 185м², 10/19этаж",Раменки,•до центра 10 км,308108₽/м²,4-комнатная,10,19,185м²,112м²,14м²,57000000
"Продажа 3-комнатной квартиры 97м², 10/27этаж",Аминьевская,"•до центра 11,3 км",577320₽/м²,3-комнатная,10,27,97м²,53м²,22м²,56000000
"Продажа 3-комнатной квартиры 230м², 5/10этаж",Мичуринский проспект,•до центра 11 км,1213043₽/м²,3-комнатная,5,10,230м²,195м²,30м²,279000000
"Продажа 2-комнатной квартиры 54м², 2/41этаж",Кутузовская,"•до центра 5,7 км",615000₽/м²,2-комнатная,2,41,,,,33216150
"Продажа 3-комнатной квартиры 59м², 4/12этаж",Лужники,"•до центра 5,9 км",455932₽/м²,3-комнатная,4,12,59м²,42м²,10м²,26900000
"Продажа 2-комнатной квартиры 78м², 7/21этаж",Раменки,"•до центра 9,9 км",641026₽/м²,2-комнатная,7,21,78м²,40м²,"11,5м²",50000000
"Продажа многокомнатной квартиры 600м², 36/38этаж",Ломоносовский проспект,"•до центра 8,4 км",765199₽/м²,,,,,,,459119409
"Продажа многокомнатной квартиры 137м², 5/13этаж",Минская,"•до центра 8,8 км",675182₽/м²,5-комнатная,5,13,137м²,84м²,"12,3м²",92500000
"Продажа 3-комнатной квартиры 83,3м², 5/35этаж",Аминьевская,"•до центра 11,5 км",378151₽/м²,3-комнатная,5,35,"83,3м²",45м²,18м²,31500000
"Продажа 3-комнатной квартиры 80,6м², 48/52этаж",Минская,"•до центра 9,5 км",507358₽/м²,,,,,,,40893054
"Продажа 2-комнатной квартиры 72,8м², 7/10этаж",Аминьевская,"•до центра 11,2 км",467033₽/м²,2-комнатная,7,10,"72,8м²",32м²,19м²,34000000
"Продажа 4-комнатной квартиры 110,2м², 20/35этаж",Аминьевская,"•до центра 11,5 км",397459₽/м²,4-комнатная,20,35,"110,2м²","47,7м²","29,1м²",43800000
