Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 4-комнатной квартиры 97м², 10/17этаж",Раменки,"•до центра 9,4 км",411340₽/м²,4-комнатная,10,17,97м²,58м²,21м²,39900000
"Продажа 2-комнатной квартиры 69м², 3/14этаж",Минская,"•до центра 8,9 км",565217₽/м²,2-комнатная,3,14,,,,39000000
"Продажа 1-комнатной квартиры 35м², 11/43этаж",Мичуринский проспект,"•до центра 11,1 км",537143₽/м²,1-комнатная,11,43,35м²,13м²,15м²,18800000
"Продажа 1-комнатной квартиры 45м², 10/14этаж",Минская,"•до центра 8,9 км",777778₽/м²,1-комнатная,10,14,,,,35000000
"Продажа 2-комнатной квартиры 86м², 14/21этаж",Раменки,•до центра 10 км,696512₽/м²,2-комнатная,14,21,86м²,40м²,15м²,59900000
"Продажа 1-комнатной квартиры 44,1м², 13/14этаж",Минская,•до центра 9 км,636054₽/м²,1-комнатная,13,14,"44,1м²","14,2м²","18,9м²",28050000
"Продажа квартиры-студии 28,5м², 13/29этаж",Аминьевская,"•до центра 11,3 км",596491₽/м²,,,,,,,17000000
"Продажа 2-комнатной квартиры 46,2м², 9/15этаж",Раменки,"•до центра 9,9 км",512554₽/м²,2-комнатная,9,15,"46,2м²","15,1м²","17,4м²",23680000
"Продажа 4-комнатной квартиры 106,7м², 7/52этаж",Минская,"•до центра 9,5 км",406048₽/м²,4-комнатная,7,52,"106,7м²","70,6м²","5,6м²",43325321
"Продажа многокомнатной квартиры 350м², 11/16этаж",Лужники,"•до центра 6,1 км",857143₽/м²,6-комнатная,11,16,,,,300000000
"Продажа 3-комнатной квартиры 71м², 3/14этаж",Минская,"•до центра 8,9 км",549296₽/м²,3-комнатная,3,14,71м²,52м²,12м²,39000000
"Продажа 3-комнатной квартиры 72м², 10/14этаж",Минская,"•до центра 8,8 км",555399₽/м²,3-комнатная,10,14,72м²,50м²,10м²,39988700
"Продажа 4-комнатной квартиры 133м², 4/24этаж",Ломоносовский проспект,"•до центра 8,7 км",533835₽/м²,4-комнатная,4,24,,,,71000000
"Продажа 4-комнатной квартиры 174м², 35/53этаж",Ломоносовский проспект,"•до центра 6,8 км",977011₽/м²,апартаменты,,,,,,170000000
"Продажа 2-комнатной квартиры 73,8м², 34/49этаж",Мичуринский проспект,"•до центра 11,3 км",461000₽/м²,,,,,,,34021800
"Продажа 1-комнатной квартиры 44,5м², 31/49этаж",Мичуринский проспект,"•до центра 11,3 км",639500₽/м²,,,,,,,28457750
"Продажа 3-комнатной квартиры 104,5м², 3/15этаж",Раменки,"•до центра 9,9 км",600957₽/м²,3-комнатная,3,15,"104,5м²",64м²,9м²,62800000
"Продажа 4-комнатной квартиры 102,5м², 10/25этаж",Аминьевская,"•до центра 11,3 км",546341₽/м²,4-комнатная,10,25,"102,5м²","52,8м²","21,4м²",56000000
"Продажа 4-комнатной квартиры 176м², 12/17этаж",Ломоносовский проспект,"•до центра 7,3 км",770455₽/м²,4-комнатная,12,17,176м²,136м²,20м²,135600000
"Продажа 1-комнатной квартиры 48м², 14/41этаж",Кутузовская,"•до центра 5,7 км",552083₽/м²,1-комнатная,14,41,48м²,28м²,15м²,26500000
"Продажа квартиры-студии 25,6м², 44/52этаж",Минская,"•до центра 9,5 км",588893₽/м²,,,,"25,6м²","16,5м²",44 из 52,15075654
"Продажа многокомнатной квартиры 170м², 10/14этаж",Минская,"•до центра 8,8 км",705882₽/м²,5-комнатная,10,14,170м²,"76,1м²","22,6м²",120000000
"Продажа 4-комнатной квартиры 262,1м², 2/6этаж",Минская,"•до центра 8,4 км",1259061₽/м²,4-комнатная,2,6,"262,1м²",190м²,20м²,330000000
"Продажа 3-комнатной квартиры 129,4м², 13/14этаж",Минская,"•до центра 8,8 км",822025₽/м²,3-комнатная,13,14,"129,4м²","38,7м²","49,5м²",106370000
"Продажа 1-комнатной квартиры 45,6м², 6/28этаж",Раменки,•до центра 10 км,528509₽/м²,1-комнатная,6,28,"45,6м²","15,4м²",11м²,24100000
"Продажа многокомнатной квартиры 249,4м², 6/10этаж",Минская,"•до центра 8,3 км",1063833₽/м²,5-комнатная,6,10,,,,265320000
"Продажа 3-комнатной квартиры 102,1м², 39/49этаж",Мичуринский проспект,"•до центра 11,3 км",452400₽/м²,,,,,,,46190040
"Продажа 1-комнатной квартиры 49,3м², 5/50этаж",Мичуринский проспект,"•до центра 11,2 км",480500₽/м²,1-комнатная,5,50,"49,3м²","14,1м²","17,9м²",23688650
"Продажа 4-комнатной квартиры 115,7м², 12/13этаж",Минская,"•до центра 8,9 км",675022₽/м²,4-комнатная,12,13,"115,7м²","57,8м²","26,9м²",78100000
"Продажа 4-комнатной квартиры 130м², 11/19этаж",Университет,"•до центра 8,7 км",1053846₽/м²,4-комнатная,11,19,130м²,"84,5м²",21м²,137000000
"Продажа 3-комнатной квартиры 130м², 8/20этаж",Ломоносовский проспект,"•до центра 8,3 км",614615₽/м²,3-комнатная,8,20,130м²,60м²,20м²,79900000
"Продажа многокомнатной квартиры 139,2м², 3/13этаж",Минская,"•до центра 8,8 км",711207₽/м²,5-комнатная,3,13,"139,2м²",93м²,"31,8м²",99000000
"Продажа 1-комнатной квартиры 40,9м², 29/41этаж",Аминьевская,•до центра 11 км,501222₽/м²,,,,,,,20500000
"Продажа 4-комнатной квартиры 105,4м², 8/28этаж",Раменки,"•до центра 9,9 км",506448₽/м²,4-комнатная,8,28,"105,4м²",58м²,"19,4м²",53379619
"Продажа 1-комнатной квартиры 49,4м², 10/14этаж",Минская,"•до центра 8,7 км",659109₽/м²,1-комнатная,10,14,"49,4м²","17,9м²","20,7м²",32560000
"Продажа 3-комнатной квартиры 102м², 2/12этаж",Минская,"•до центра 8,9 км",735294₽/м²,3-комнатная,2,12,102м²,65м²,15м²,75000000
"Продажа 3-комнатной квартиры 86м², 14/21этаж",Раменки,•до центра 10 км,581395₽/м²,3-комнатная,14,21,,,,50000000
"Продажа 3-комнатной квартиры 141м², 7/19этаж",Университет,"•до центра 8,9 км",560284₽/м²,3-комнатная,7,19,141м²,90м²,18м²,79000000
"Продажа многокомнатной квартиры 134м², 11/18этаж",Аминьевская,"•до центра 11,3 км",410448₽/м²,5-комнатная,11,18,134м²,90м²,20м²,55000000
"Продажа 2-комнатной квартиры 62,5м², 30/37этаж",Аминьевская,"•до центра 11,1 км",576000₽/м²,,,,,,,36000000
"Продажа 2-комнатной квартиры 45м², 2/12этаж",Раменки,"•до центра 10,3 км",311111₽/м²,2-комнатная,2,12,45м²,27м²,6м²,14000000
"Продажа 3-комнатной квартиры 85м², 8/55этаж",Мичуринский проспект,"•до центра 10,7 км",482261₽/м²,3-комнатная,8,55,85м²,57м²,14м²,40992145
"Продажа 3-комнатной квартиры 103,5м², 36/40этаж",Минская,"•до центра 7,4 км",717702₽/м²,,,,,,,74289356
"Продажа 2-комнатной квартиры 78,9м², 4/28этаж",Раменки,"•до центра 9,9 км",506971₽/м²,2-комнатная,4,28,,,,40000000
"Продажа многокомнатной квартиры 298м², 2/7этаж",Минская,"•до центра 8,6 км",432886₽/м²,6-комнатная,2,7,298м²,215м²,29м²,129000000
"Продажа 2-комнатной квартиры 60м², 6/8этаж",Ломоносовский проспект,"•до центра 7,2 км",1115000₽/м²,2-комнатная,6,8,60м²,30м²,20м²,66900000
"Продажа 2-комнатной квартиры 54,2м², 25/52этаж",Минская,"•до центра 9,5 км",443437₽/м²,,,,,,,24034310
"Продажа 3-комнатной квартиры 168,4м², 31/32этаж",Минская,"•до центра 7,2 км",2154006₽/м²,,,,,,,362648418
"Продажа 2-комнатной квартиры 43м², 1/5этаж",Ломоносовский проспект,"•до центра 8,3 км",313953₽/м²,2-комнатная,1,5,43м²,28м²,6м²,13500000
"Продажа 1-комнатной квартиры 39м², 15/43этаж",Аминьевская,•до центра 11 км,551026₽/м²,1-комнатная,15,43,39м²,15м²,17м²,21490000
"Продажа 2-комнатной квартиры 52м², 46/52этаж",Раменки,"•до центра 10,7 км",605769₽/м²,,,,,,,31500000
"Продажа многокомнатной квартиры 236м², 35/43этаж",Ломоносовский проспект,"•до центра 8,5 км",550847₽/м²,,,,,,,130000000
"Продажа 1-комнатной квартиры 45м², 12/14этаж",Минская,"•до центра 8,9 км",715111₽/м²,1-комнатная,12,14,45м²,15м²,"18,9м²",32180000
"Продажа 1-комнатной квартиры 48м², 36/49этаж",Мичуринский проспект,"•до центра 11,3 км",571800₽/м²,,,,,,,27446400
"Продажа 3-комнатной квартиры 70,5м², 3этаж",Ломоносовский проспект,"•до центра 8,7 км",377163₽/м²,,,,"70,5м²",47м²,"7,5м²",26590000
"Продажа 1-комнатной квартиры 40м², 9/17этаж",Раменки,"•до центра 10,5 км",437500₽/м²,1-комнатная,9,17,40м²,"18,9м²","7,9м²",17500000
"Продажа 3-комнатной квартиры 78,6м², 42/52этаж",Минская,"•до центра 9,5 км",423629₽/м²,,,,,,,33297235
"Продажа 3-комнатной квартиры 72,4м², 13/41этаж",Киевская,"•до центра 5,6 км",661500₽/м²,3-комнатная,13,41,,,,47912445
"Продажа 4-комнатной квартиры 118м², 16/29этаж",Ломоносовский проспект,"•до центра 8,7 км",576271₽/м²,,,,,,,68000000
"Продажа 4-комнатной квартиры 180м², 3/8этаж",Минская,"•до центра 8,3 км",943889₽/м²,4-комнатная,3,8,,,,169900000
"Продажа 1-комнатной квартиры 44,5м², 12/14этаж",Минская,•до центра 9 км,641124₽/м²,1-комнатная,12,14,"44,5м²","13,8м²","21,4м²",28530000
"Продажа 2-комнатной квартиры 51м², 6/25этаж",Минская,"•до центра 8,8 км",617647₽/м²,2-комнатная,6,25,,,,31500000
"Продажа 2-комнатной квартиры 72,6м², 9/13этаж",Минская,"•до центра 8,8 км",743113₽/м²,2-комнатная,9,13,"72,6м²",28м²,"26,3м²",53950000
"Продажа 2-комнатной квартиры 87,2м², 8/22этаж",Студенческая,"•до центра 6,8 км",447248₽/м²,2-комнатная,8,22,"87,2м²",40м²,14м²,39000000
"Продажа 3-комнатной квартиры 84,2м², 29/52этаж",Минская,"•до центра 9,5 км",429520₽/м²,,,,,,,36165590
"Продажа 3-комнатной квартиры 79,8м², 37/52этаж",Минская,"•до центра 9,5 км",430220₽/м²,,,,,,,34331544
"Продажа 2-комнатной квартиры 73,8м², 35/36этаж",Аминьевская,"•до центра 11,5 км",672087₽/м²,,,,"73,8м²","66,3м²",35 из 36,49600000
"Продажа 2-комнатной квартиры 59,6м², 5/41этаж",Киевская,"•до центра 5,6 км",663500₽/м²,2-комнатная,5,41,,,,39537965
"Продажа 3-комнатной квартиры 78м², 47/52этаж",Раменки,"•до центра 10,7 км",638462₽/м²,,,,,,,49800000
"Продажа 3-комнатной квартиры 145м², 8/17этаж",Ломоносовский проспект,"•до центра 8,3 км",551724₽/м²,3-комнатная,8,17,,,,80000000
"Продажа 2-комнатной квартиры 50,7м², 24/25этаж",Лужники,"•до центра 5,7 км",362919₽/м²,,,,,,,18400000
"Продажа 2-комнатной квартиры 68,7м², 11/14этаж",Минская,"•до центра 8,7 км",650073₽/м²,2-комнатная,11,14,"68,7м²","25,1м²","22,7м²",44660000
"Продажа 3-комнатной квартиры 160м², 47/53этаж",Ломоносовский проспект,"•до центра 6,8 км",1217500₽/м²,апартаменты,,,,,,194800000
"Продажа 3-комнатной квартиры 125,7м², 53/56этаж",Минская,"•до центра 9,4 км",488858₽/м²,,,,,,,61449450
"Продажа 2-комнатной квартиры 70,6м², 13/49этаж",Мичуринский проспект,"•до центра 11,3 км",506600₽/м²,2-комнатная,13,49,"70,6м²","24,1м²","24,9м²",35765960
"Продажа многокомнатной квартиры 582м², 19/21этаж",Ломоносовский проспект,•до центра 9 км,446735₽/м²,6-комнатная,19,21,,,,260000000
"Продажа 2-комнатной квартиры 77,4м², 12/14этаж",Минская,"•до центра 8,8 км",659044₽/м²,2-комнатная,12,14,"77,4м²","27,4м²",29м²,51010000
"Продажа 1-комнатной квартиры 47,7м², 40/49этаж",Мичуринский проспект,"•до центра 11,3 км",538200₽/м²,,,,,,,25672140
"Продажа 2-комнатной квартиры 54,8м², 42/52этаж",Минская,"•до центра 9,5 км",457829₽/м²,,,,,,,25089051
"Продажа 4-комнатной квартиры 197м², 16/16этаж",Лужники,"•до центра 6,1 км",1498477₽/м²,,,,,,,295200000
"Продажа 3-комнатной квартиры 62,6м², 15/28этаж",Раменки,"•до центра 9,9 км",555678₽/м²,3-комнатная,15,28,"62,6м²","31,3м²","15,4м²",34785452
"Продажа 4-комнатной квартиры 102м², 2/13этаж",Минская,"•до центра 8,8 км",735294₽/м²,4-комнатная,2,13,,,,75000000
"Продажа 2-комнатной квартиры 77м², 12/51этаж",Мичуринский проспект,"•до центра 10,7 км",492208₽/м²,2-комнатная,12,51,77м²,52м²,10м²,37900000
"Продажа 4-комнатной квартиры 110м², 2/21этаж",Раменки,"•до центра 9,8 км",590909₽/м²,4-комнатная,2,21,110м²,75м²,20м²,65000000
"Продажа 1-комнатной квартиры 54,7м², 2/16этаж",Мичуринский проспект,"•до центра 11,2 км",757500₽/м²,1-комнатная,2,16,"54,7м²","16,6м²","17,2м²",41435250
"Продажа многокомнатной квартиры 98м², 9/14этаж",Минская,"•до центра 8,9 км",663265₽/м²,5-комнатная,9,14,98м²,60м²,15м²,65000000
"Продажа 4-комнатной квартиры 124,9м², 26/49этаж",Мичуринский проспект,"•до центра 11,3 км",483000₽/м²,,,,,,,60326700
"Продажа 2-комнатной квартиры 69м², 7/14этаж",Минская,"•до центра 8,9 км",576812₽/м²,2-комнатная,7,14,69м²,"35,5м²","11,6м²",39800000
"Продажа 4-комнатной квартиры 114,2м², 9/20этаж",Раменки,"•до центра 10,1 км",656743₽/м²,4-комнатная,9,20,,,,75000000
"Продажа квартиры со свободной планировкой 388,6м², 9/10этаж",Мичуринский проспект,•до центра 11 км,949563₽/м²,,,,"388,6м²",210м²,"27,5м²",369000000
"Продажа 3-комнатной квартиры 84,8м², 16/39этаж",Аминьевская,"•до центра 11,5 км",601297₽/м²,3-комнатная,16,39,"84,8м²",55м²,22м²,50990000
"Продажа 3-комнатной квартиры 68м², 6/8этаж",Ломоносовский проспект,"•до центра 8,5 км",426471₽/м²,3-комнатная,6,8,68м²,50м²,9м²,29000000
"Продажа 2-комнатной квартиры 65м², 21/25этаж",Аминьевская,"•до центра 11,6 км",461538₽/м²,,,,,,,30000000
"Продажа 4-комнатной квартиры 136,5м², 6/14этаж",Минская,"•до центра 8,8 км",681319₽/м²,4-комнатная,6,14,"136,5м²",74м²,"12,9м²",93000000
"Продажа 2-комнатной квартиры 70м², 8/14этаж",Минская,"•до центра 8,8 км",578571₽/м²,2-комнатная,8,14,70м²,27м²,23м²,40500000
"Продажа 3-комнатной квартиры 70м², 6/8этаж",Ломоносовский проспект,"•до центра 7,9 км",428571₽/м²,3-комнатная,6,8,70м²,"47,1м²",8м²,30000000
"Продажа 3-комнатной квартиры 71м², 4/39этаж",Аминьевская,"•до центра 11,5 км",422394₽/м²,3-комнатная,4,39,71м²,49м²,15м²,29990000
"Продажа 2-комнатной квартиры 37,5м², 2/12этаж",Студенческая,"•до центра 6,5 км",360000₽/м²,2-комнатная,2,12,"37,5м²",26м²,6м²,13500000
"Продажа 2-комнатной квартиры 63м², 9/28этаж",Раменки,"•до центра 9,9 км",722222₽/м²,2-комнатная,9,28,63м²,30м²,15м²,45500000
"Продажа 2-комнатной квартиры 39м², 1/5этаж",Ломоносовский проспект,"•до центра 6,9 км",341026₽/м²,2-комнатная,1,5,39м²,26м²,5м²,13300000
"Продажа 1-комнатной квартиры 45м², 7/9этаж",Аминьевская,"•до центра 11,3 км",577778₽/м²,1-комнатная,7,9,45м²,"14,5м²","18,5м²",26000000
"Продажа 1-комнатной квартиры 41м², 18/43этаж",Аминьевская,•до центра 11 км,507317₽/м²,1-комнатная,18,43,41м²,20м²,15м²,20800000
"Продажа 4-комнатной квартиры 220м², 7/14этаж",Минская,"•до центра 8,2 км",663636₽/м²,4-комнатная,7,14,220м²,140м²,15м²,146000000
"Продажа 2-комнатной квартиры 77,2м², 11/24этаж",Мичуринский проспект,•до центра 11 км,505181₽/м²,2-комнатная,11,24,"77,2м²",45м²,18м²,39000000
"Продажа 3-комнатной квартиры 96,8м², 45/49этаж",Мичуринский проспект,"•до центра 11,3 км",448800₽/м²,,,,,,,43443840
"Продажа 3-комнатной квартиры 60м², 7/31этаж",Аминьевская,"•до центра 11,5 км",583167₽/м²,3-комнатная,7,31,60м²,35м²,16м²,34990000
"Продажа 1-комнатной квартиры 41м², 7/16этаж",Раменки,"•до центра 10,4 км",363415₽/м²,1-комнатная,7,16,41м²,25м²,10м²,14900000
"Продажа 2-комнатной квартиры 78,4м², 15/49этаж",Мичуринский проспект,"•до центра 11,3 км",447100₽/м²,2-комнатная,15,49,"78,4м²","27,6м²","26,1м²",35052640
"Продажа 2-комнатной квартиры 45м², 4/14этаж",Минская,"•до центра 8,9 км",569800₽/м²,2-комнатная,4,14,45м²,24м²,7м²,25641000
"Продажа 2-комнатной квартиры 46м², 7/16этаж",Ломоносовский проспект,"•до центра 8,9 км",343478₽/м²,2-комнатная,7,16,46м²,23м²,6м²,15800000
"Продажа 4-комнатной квартиры 125,6м², 12/14этаж",Минская,"•до центра 8,8 км",813057₽/м²,4-комнатная,12,14,"125,6м²","55,3м²","33,6м²",102120000
"Продажа 3-комнатной квартиры 111м², 30/32этаж",Минская,"•до центра 7,4 км",784259₽/м²,,,,,,,87060548
"Продажа 2-комнатной квартиры 51,2м², 19/52этаж",Минская,"•до центра 9,5 км",441642₽/м²,2-комнатная,19,52,"51,2м²","34,3м²","6,3м²",22612079
"Продажа 2-комнатной квартиры 68,9м², 7/12этаж",Минская,"•до центра 8,8 км",577649₽/м²,2-комнатная,7,12,"68,9м²","35,5м²","11,6м²",39800000
"Продажа 4-комнатной квартиры 233м², 38/39этаж",Минская,"•до центра 8,5 км",549356₽/м²,,,,,,,128000000
"Продажа 4-комнатной квартиры 125м², 15/20этаж",Аминьевская,"•до центра 11,1 км",536000₽/м²,4-комнатная,15,20,125м²,"76,8м²","22,2м²",67000000
"Продажа 2-комнатной квартиры 74,7м², 42/50этаж",Мичуринский проспект,"•до центра 11,2 км",442100₽/м²,,,,,,,33024870
"Продажа 3-комнатной квартиры 201,7м², 5/11этаж",Мичуринский проспект,•до центра 11 км,963733₽/м²,3-комнатная,5,11,,,,194385000
"Продажа 3-комнатной квартиры 95,9м², 47/49этаж",Мичуринский проспект,"•до центра 11,3 км",508800₽/м²,,,,,,,48793920
"Продажа 1-комнатной квартиры 48м², 47/49этаж",Мичуринский проспект,"•до центра 11,3 км",600800₽/м²,,,,,,,28838400
"Продажа 2-комнатной квартиры 38,6м², 5/12этаж",Студенческая,"•до центра 6,5 км",316062₽/м²,2-комнатная,5,12,"38,6м²","23,9м²","6,4м²",12200000
"Продажа 4-комнатной квартиры 174м², 9/19этаж",Университет,"•до центра 8,8 км",672414₽/м²,4-комнатная,9,19,174м²,140м²,30м²,117000000
"Продажа 3-комнатной квартиры 90,7м², 3/29этаж",Аминьевская,"•до центра 11,2 км",456000₽/м²,3-комнатная,3,29,,,,41359221
"Продажа 2-комнатной квартиры 48м², 18/41этаж",Аминьевская,"•до центра 11,5 км",583125₽/м²,2-комнатная,18,41,48м²,30м²,15м²,27990000
"Продажа 2-комнатной квартиры 90м², 2/22этаж",Университет,"•до центра 8,7 км",777778₽/м²,2-комнатная,2,22,90м²,42м²,15м²,70000000
"Продажа 3-комнатной квартиры 71м², 13/14этаж",Минская,"•до центра 8,9 км",570423₽/м²,3-комнатная,13,14,,,,40500000
"Продажа квартиры-студии 22,7м², 7/11этаж",Аминьевская,"•до центра 11,3 км",600540₽/м²,,,,,,,13632269
"Продажа 3-комнатной квартиры 102,2м², 6/12этаж",Минская,"•до центра 8,8 км",663014₽/м²,3-комнатная,6,12,"102,2м²","42,5м²",27м²,67760000
"Продажа 3-комнатной квартиры 70м², 25/52этаж",Раменки,"•до центра 10,5 км",542857₽/м²,,,,,,,38000000
"Продажа 3-комнатной квартиры 115,6м², 35/40этаж",Минская,"•до центра 7,2 км",781432₽/м²,,,,,,,90317950
"Продажа 3-комнатной квартиры 70м², 2/14этаж",Минская,"•до центра 8,8 км",628571₽/м²,3-комнатная,2,14,70м²,"50,4м²",6м²,44000000
"Продажа 3-комнатной квартиры 148,9м², 14/14этаж",Минская,"•до центра 8,9 км",700000₽/м²,,,,,,,104230000
"Продажа 2-комнатной квартиры 75м², 19/41этаж",Мичуринский проспект,"•до центра 11,1 км",613333₽/м²,2-комнатная,19,41,,,,46000000
"Продажа 3-комнатной квартиры 141м², 8/17этаж",Ломоносовский проспект,"•до центра 8,3 км",567376₽/м²,3-комнатная,8,17,141м²,78м²,18м²,80000000
"Продажа 2-комнатной квартиры 68,5м², 7/50этаж",Мичуринский проспект,"•до центра 11,2 км",437700₽/м²,2-комнатная,7,50,"68,5м²","27,1м²","20,2м²",29982450
"Продажа 2-комнатной квартиры 63м², 11/28этаж",Раменки,"•до центра 9,9 км",547799₽/м²,2-комнатная,11,28,63м²,"31,3м²","15,4м²",34511354
"Продажа многокомнатной квартиры 100м², 3/14этаж",Минская,"•до центра 8,8 км",750000₽/м²,5-комнатная,3,14,100м²,60м²,12м²,75000000
"Продажа 3-комнатной квартиры 67м², 9/14этаж",Минская,"•до центра 8,9 км",566985₽/м²,3-комнатная,9,14,67м²,46м²,7м²,37988000
"Продажа квартиры со свободной планировкой 303м², 3/12этаж",Ломоносовский проспект,"•до центра 7,2 км",1254125₽/м²,,,,303м²,156м²,25м²,380000000
"Продажа 4-комнатной квартиры 210,5м², 15/25этаж",Ломоносовский проспект,"•до центра 8,3 км",783848₽/м²,4-комнатная,15,25,"210,5м²",94м²,28м²,165000000
"Продажа 3-комнатной квартиры 109,7м², 23/39этаж",Минская,"•до центра 8,5 км",902461₽/м²,,,,,,,99000000
"Продажа многокомнатной квартиры 255м², 8/15этаж",Ломоносовский проспект,"•до центра 8,6 км",792206₽/м²,6-комнатная,8,15,,,,202012580
"Продажа 4-комнатной квартиры 134м², 11/15этаж",Раменки,"•до центра 9,3 км",444030₽/м²,4-комнатная,11,15,134м²,"82,3м²",15м²,59500000
"Продажа 2-комнатной квартиры 44м², 15/31этаж",Аминьевская,"•до центра 11,5 км",492045₽/м²,2-комнатная,15,31,44м²,33м²,6м²,21650000
"Продажа 3-комнатной квартиры 70,8м², 3/41этаж",Киевская,"•до центра 5,6 км",646500₽/м²,3-комнатная,3,41,,,,45772200
"Продажа 2-комнатной квартиры 105м², 30/53этаж",Ломоносовский проспект,"•до центра 6,8 км",647619₽/м²,апартаменты,,,,,,68000000
"Продажа 3-комнатной квартиры 78,9м², 16/52этаж",Минская,"•до центра 9,5 км",413966₽/м²,3-комнатная,16,52,"78,9м²","56,1м²",6м²,32661929
"Продажа многокомнатной квартиры 222м², 3/8этаж",Ломоносовский проспект,"•до центра 7,2 км",1197973₽/м²,5-комнатная,3,8,222м²,147м²,38м²,265950000
"Продажа 2-комнатной квартиры 58,5м², 11/43этаж",Мичуринский проспект,"•до центра 11,1 км",435897₽/м²,2-комнатная,11,43,"58,5м²",28м²,"10,6м²",25500000
"Продажа 2-комнатной квартиры 65м², 26/41этаж",Киевская,"•до центра 5,6 км",676000₽/м²,,,,,,,43953520
"Продажа 2-комнатной квартиры 68,8м², 5/12этаж",Раменки,"•до центра 9,2 км",450581₽/м²,2-комнатная,5,12,"68,8м²","36,3м²","13,7м²",31000000
"Продажа 3-комнатной квартиры 71,3м², 29/38этаж",Аминьевская,"•до центра 11,1 км",436185₽/м²,,,,,,,31100000
"Продажа 3-комнатной квартиры 162м², 47/47этаж",Ломоносовский проспект,"•до центра 6,8 км",1473717₽/м²,апартаменты,,,,,,238742140
"Продажа 3-комнатной квартиры 78,1м², 16/52этаж",Минская,"•до центра 9,5 км",426125₽/м²,3-комнатная,16,52,"78,1м²","50,8м²","5,3м²",33280327
"Продажа 3-комнатной квартиры 91,9м², 13/14этаж",Минская,"•до центра 8,9 км",603047₽/м²,3-комнатная,13,14,"91,9м²","45,3м²","26,2м²",55420000
"Продажа 2-комнатной квартиры 66м², 28/41этаж",Аминьевская,•до центра 11 км,369697₽/м²,,,,,,,24400000
"Продажа многокомнатной квартиры 100м², 11/14этаж",Минская,"•до центра 8,8 км",890000₽/м²,5-комнатная,11,14,100м²,60м²,12м²,89000000
"Продажа 2-комнатной квартиры 76,9м², 12/50этаж",Мичуринский проспект,"•до центра 11,2 км",382900₽/м²,2-комнатная,12,50,"76,9м²","30,6м²","25,7м²",29445010
"Продажа 3-комнатной квартиры 66м², 16/35этаж",Аминьевская,"•до центра 11,5 км",681667₽/м²,3-комнатная,16,35,66м²,30м²,16м²,44990000
"Продажа 4-комнатной квартиры 154м², 2/19этаж",Университет,"•до центра 8,8 км",640909₽/м²,4-комнатная,2,19,,,,98700000
"Продажа 3-комнатной квартиры 140м², 11/16этаж",Ломоносовский проспект,•до центра 9 км,578571₽/м²,3-комнатная,11,16,140м²,90м²,10м²,81000000
"Продажа 2-комнатной квартиры 68,5м², 5/13этаж",Ломоносовский проспект,"•до центра 7,9 км",715328₽/м²,2-комнатная,5,13,"68,5м²",46м²,"11,5м²",49000000
"Продажа квартиры-студии 40,5м², 7/39этаж",Аминьевская,"•до центра 11,5 км",441975₽/м²,,,,,,,17900000
"Продажа 3-комнатной квартиры 78м², 28/52этаж",Мичуринский проспект,"•до центра 10,7 км",596154₽/м²,,,,78м²,18м²,28 из 52,46500000
"Продажа 3-комнатной квартиры 66м², 7/43этаж",Аминьевская,•до центра 11 км,515000₽/м²,3-комнатная,7,43,66м²,45м²,10м²,33990000
"Продажа 2-комнатной квартиры 75,9м², 24/50этаж",Мичуринский проспект,"•до центра 11,2 км",396500₽/м²,,,,,,,30094350
"Продажа 2-комнатной квартиры 86,5м², 2/12этаж",Мичуринский проспект,"•до центра 11,1 км",901362₽/м²,2-комнатная,2,12,"86,5м²","37,1м²","21,3м²",77967850
"Продажа 1-комнатной квартиры 46,5м², 11/25этаж",Аминьевская,"•до центра 11,5 км",516129₽/м²,1-комнатная,11,25,"46,5м²",17м²,12м²,24000000
"Продажа 2-комнатной квартиры 60м², 6/12этаж",Ломоносовский проспект,"•до центра 7,2 км",1116650₽/м²,2-комнатная,6,12,60м²,45м²,10м²,66999000
"Продажа 4-комнатной квартиры 143м², 3/24этаж",Университет,"•до центра 8,8 км",680979₽/м²,4-комнатная,3,24,143м²,63м²,18м²,97380000
"Продажа 1-комнатной квартиры 40,2м², 10/31этаж",Аминьевская,"•до центра 11,5 км",435323₽/м²,1-комнатная,10,31,"40,2м²",18м²,12м²,17500000
"Продажа 3-комнатной квартиры 83,5м², 9/11этаж",Аминьевская,"•до центра 11,3 км",487286₽/м²,3-комнатная,9,11,,,,40688420
"Продажа 2-комнатной квартиры 59,5м², 20/28этаж",Раменки,•до центра 10 км,589368₽/м²,2-комнатная,20,28,"59,5м²","32,2м²","11,2м²",35067374
"Продажа квартиры со свободной планировкой 200,3м², 2/14этаж",Минская,"•до центра 8,8 км",643520₽/м²,,,,,,,128897000
"Продажа квартиры-студии 29,8м², 12/29этаж",Аминьевская,"•до центра 11,2 км",597859₽/м²,,,,,,,17816185
"Продажа 3-комнатной квартиры 93м², 12/14этаж",Минская,"•до центра 8,8 км",773118₽/м²,3-комнатная,12,14,93м²,"49,4м²",13м²,71900000
"Продажа 1-комнатной квартиры 49м², 17/18этаж",Раменки,"•до центра 9,7 км",550000₽/м²,1-комнатная,17,18,49м²,25м²,10м²,26950000
